"Page URL","Link Text","Broken Link"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/3143","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/3144","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/3145","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/3146","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/3147","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/3148","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/3149","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/3163","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/3164","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/plans-reports-and-reviews","2016-2017 Annual Report","https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/sites/default/files/publications/annualreports/2016-17%20GC%20Annual%20Report_SPREADS%20WEB%20DISPLAY.pdf"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/plans-reports-and-reviews","2015-2016 Annual Report","https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/sites/default/files/publications/annualreports/2015-16_Green_College_Annual_Report.pdf"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/plans-reports-and-reviews","2013-2014 Annual Report","https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/sites/default/files/publications/annualreports/2013-14%20Green%20College%20Annual%20Report_Online_Oct9revisedpg12.pdf"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/plans-reports-and-reviews","2012-2013 Annual Report","https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/sites/default/files/publications/annualreports/2012-13%20Green%20College%20Annual%20Report_LOW-RES%20WEB%20VERSION_2.2MB.pdf"
